id,carat,cut,color,clarity,depth,table,x,y,z,price
24702,0.38,Ideal,E,SI1,61.1,56.0,4.66,4.7,2.86,949
777,0.3,Ideal,G,VVS2,61.9,55.0,4.3,4.33,2.68,686
5436,0.73,Premium,F,VS1,61.8,58.0,5.77,5.73,3.55,2879
19262,0.39,Ideal,G,SI1,62.0,55.0,4.69,4.65,2.9,855
2643,0.74,Premium,G,VVS1,61.6,56.0,5.83,5.81,3.57,3071
16976,1.04,Ideal,G,SI1,62.6,57.0,6.44,6.47,4.04,4892
2992,1.56,Very Good,I,VS2,61.3,60.0,7.47,7.52,4.58,10428
13851,0.7,Ideal,F,SI2,61.3,57.0,5.72,5.74,3.51,2112
20955,0.5,Ideal,D,VS2,62.2,54.0,5.09,5.13,3.18,1752
13243,0.9,Ideal,G,SI2,61.6,56.0,6.17,6.19,3.81,3136
6859,0.25,Ideal,H,VS1,61.6,56.0,4.02,4.06,2.48,452
554,2.04,Good,I,IF,63.8,61.0,7.93,8.0,5.14,18659
29323,1.02,Good,D,SI2,57.5,62.0,6.63,6.59,3.77,4513
22361,0.31,Ideal,F,IF,62.3,55.0,4.32,4.35,2.7,986
28816,0.5,Very Good,H,IF,62.6,58.0,5.08,5.11,3.19,1844
7772,1.1,Ideal,I,VS2,62.1,55.0,6.57,6.67,4.11,5016
4380,1.01,Good,D,VS1,62.6,61.0,6.34,6.37,3.98,7992
14976,0.78,Ideal,G,SI1,62.0,54.0,5.91,5.96,3.67,2863
29253,0.72,Ideal,F,VS1,60.9,56.0,5.77,5.83,3.53,3269
13233,1.02,Ideal,D,SI2,62.4,56.0,6.43,6.46,4.01,4563
13255,0.58,Ideal,E,SI1,61.9,55.0,5.32,5.38,3.31,1636
7010,0.3,Premium,G,SI1,61.7,58.0,4.34,4.29,2.66,574
15610,1.54,Ideal,G,VS2,62.2,57.0,7.36,7.39,4.59,13872
17718,0.3,Ideal,E,VS2,61.6,56.0,4.37,4.34,2.68,844
7975,0.77,Very Good,G,SI1,60.4,59.0,5.86,5.9,3.56,2345
19272,0.39,Premium,G,VVS1,59.9,61.0,4.74,4.78,2.86,988
14414,1.56,Very Good,H,SI2,61.2,59.0,7.41,7.47,4.55,7459
19106,0.9,Premium,F,SI1,62.1,59.0,6.15,6.18,3.83,3509
16348,0.71,Very Good,E,VS1,61.7,58.0,5.65,5.69,3.49,3030
2562,1.01,Good,I,SI1,63.8,58.0,6.29,6.35,4.03,4625
27394,0.76,Premium,E,SI1,60.5,59.0,5.85,5.84,3.53,2885
5037,1.39,Ideal,G,VS2,62.2,56.0,7.22,7.16,4.47,9432
3482,0.31,Ideal,G,VVS2,62.3,54.0,4.37,4.4,2.73,687
17686,0.76,Premium,H,VS2,59.7,58.0,5.93,5.89,3.54,2648
28093,0.71,Ideal,J,VS2,60.9,57.0,5.77,5.83,3.53,1712
27569,2.26,Premium,J,SI1,62.6,57.0,8.36,8.4,5.25,12870
27325,0.3,Ideal,F,VS2,61.4,56.0,4.38,4.34,2.68,776
24124,0.42,Premium,F,VS2,61.3,59.0,4.87,4.83,2.97,1172
17909,2.06,Ideal,H,SI1,61.3,57.0,8.31,8.25,5.05,17953
11445,0.55,Ideal,G,VS2,61.7,53.0,5.29,5.31,3.28,1699
4276,1.02,Premium,G,SI1,63.0,59.0,6.32,6.37,4.0,4721
1369,0.31,Ideal,F,VVS1,62.1,54.0,4.38,4.38,2.72,840
27383,2.02,Ideal,G,SI2,60.3,60.0,8.17,8.26,4.96,18515
24340,0.31,Ideal,G,SI2,62.8,55.0,4.34,4.37,2.73,408
24844,0.58,Ideal,I,SI2,61.0,56.0,5.41,5.45,3.3,1175
6111,0.72,Ideal,I,VS1,61.9,55.0,5.77,5.79,3.58,2074
3160,0.37,Ideal,E,SI1,61.6,54.0,4.63,4.66,2.86,851
23854,2.01,Very Good,E,SI2,62.8,59.0,8.02,8.08,5.05,15398
18434,1.21,Very Good,G,SI1,63.1,56.0,6.72,6.8,4.27,6686
26286,1.02,Premium,D,VS1,62.8,59.0,6.46,6.36,4.02,7910
6463,0.7,Good,F,VS1,61.9,61.0,5.67,5.65,3.51,2591
27409,1.13,Ideal,F,VS2,61.7,54.0,6.77,6.72,4.16,8008
19643,0.3,Ideal,F,VS2,62.0,57.0,4.32,4.28,2.66,776
21235,1.14,Ideal,J,SI2,61.4,57.0,6.77,6.74,4.15,3659
16825,0.7,Ideal,G,VS1,61.3,57.0,5.73,5.76,3.51,2274
17026,2.21,Ideal,G,SI2,61.0,60.0,8.45,8.4,5.12,18532
2033,0.32,Good,D,SI2,63.8,57.0,4.34,4.36,2.77,612
21394,1.5,Premium,J,VVS2,61.8,58.0,7.38,7.31,4.54,9225
20300,0.36,Ideal,H,SI2,61.8,55.0,4.59,4.61,2.84,513
8440,1.21,Ideal,G,VVS1,60.8,57.0,6.92,6.85,4.2,10805
1863,0.7,Very Good,I,VVS2,62.2,59.0,5.67,5.7,3.54,2327
27316,0.3,Ideal,G,SI2,60.8,57.0,4.34,4.37,2.65,382
14008,0.34,Ideal,F,VS2,62.3,56.0,4.53,4.5,2.81,932
13292,1.5,Ideal,G,SI1,62.0,57.0,7.3,7.25,4.5,10349
22164,0.72,Ideal,I,SI2,62.2,56.0,5.73,5.76,3.57,2475
6497,0.52,Very Good,G,SI1,62.3,58.0,5.12,5.16,3.2,1098
12608,0.6,Fair,E,SI1,66.1,56.0,5.43,5.34,3.45,2000
25538,2.0,Very Good,J,SI2,63.3,60.0,7.96,7.88,5.02,12565
8810,0.33,Ideal,F,SI2,60.9,57.0,4.5,4.52,2.74,572
4824,0.56,Ideal,F,SI1,61.7,54.0,5.28,5.31,3.28,1608
